entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
reduce	  کەم کردنەوە	داشکاندن	دابەزاندن	کەم بوونەوە	داشکان	دابەزین								
occupy	  پڕکردنەوە	تیانیشتەجێبوون	داگیرکردن	بەکارهێنان	خافڵاندن	خەریکبوون								
charge	  تاوانبار کردن	گوناهبار کردن	تۆمەت	بارگە	هێزی ئەلکترۆنی	خەرج								
fee	دەسهەق	مز		کرێ	تێچوون	خەرج								
subvert	  ڕووخاندن	سەرنخوون کردن	لە بەین بردنی دەستهەڵات	بنەبڕکردن	لەناوبردن	خەراپکاری								
express	  دەربڕین	بە روونی گوتن	روون	لەزگین	بەلەز	خێرا								
disregard	  گوێ پێنەدان	پشت گوێ خستن	گرنگی نەدان	بایەخ نەدان	ئاوڕلێنەدانەوە	خۆتێنەگەیاندن								
own	  خاوەن بوون	هەبوون	دان پیانان	خود	ئی خود	خۆ								
turn	  سووڕانەوە	بادانەوە	گۆڕین	سووڕ	نۆرە	خولخولە								
circulate	  سووڕاندنەوە	وەگەڕخستن	بڵاوکردنەوە	پەخشکردنەوە	سووڕانەوە	خولانەوە								
push	  پاڵ پێوەنان	داگرتن	گوشار	زەخت	دەستنان	خستنەسەر								
opposition	  دژانبەر	دژداری	ناکۆکی	بەرهەڵستیی توند	ئۆپوزسیۆن	حزبی بەرهەڵستکار								
attitude	  هەڵویست	جووڵانەوە	شێوەی هەڵسوکەوت	بۆچوون	ڕوانگە	حاڵ								
sort	  جۆر	چەشن	ڕیزکردن	جۆرکردن	ڕیزبەندی	چین بەندی								
mount	  جێگیرکردن	بەستن	گرێدان	وەسەرکەوتن	چوونەبان	چیا								
fixed	  جێگیر	چەسپاو	جێگیرکراو	چەسپێنراو	چارەسەرکرا	چارەسەرکراو								
lie	  درۆ	قسە هەڵبستن	ڕاکشان	حەسانەوە	دانران	جێگرتن								
press	  چاپەمەنی	بڵاڤۆک	رۆژنامە و گۆڤار	پەستاندن	گوشین	تەوژم دان								
absorb	  مژین	هەڵمژین	ڕاکێشان	هەڵمژان	ڕاکێشران	تێگەیشتن								
severe	  سەخت	دژوار	ئەستەم	قورس	تیژ	توند								
authority	  دەسەڵات	دەسەڵاتدار	حکوومەت	دام	ئۆرگان	توانایی								
argument	  گۆڤانی	بەڵگه(بۆ بۆچوون)	دەلیل	شانی	وتووێژ	تاووتوێ								
obtain	  وەدەست خستن	بەدەست هێنان	گرتن	دەستگیربوون	دەست کەوتن	پەیداکردن								
inflate	  هەڵئاوسان	فووتێکردن	هەواتێکردن	ماسین	هەڵامسان	پەنەمان								
utter	  وتن	دەربڕین	ئاشکراکردن	تەواو	گشتی	پەتی								
trade	  بازرگانی	دان و ستان	ئاڵووێر	سەودا	مامڵە	پیشە								
rub	  سایین	ساوین	سوونەوە	پیاماڵین	دەست لێخشاندن	پیاهێنان								
fetch	  هێنان	مرۆڤ	گیاندار) چوون بۆی و هێنانی	لێده‌رهێنان	دڵڕاکێشان	پیاکێشان								
concern	  گرنگی پێدان	پێ گرنگ بوون	بەپەرۆشبوون	نیگەران بوون	پیشە	پێوەندی هەبوون بە								
attribute	  دیاردە	دیارخەر	دیارکەر	تایبەتمەندی	دانستە	پێناسەی چۆنیەتی								
pride	  شانازی	سەربەرزی	هەمبازی	شکۆ	ودم	پێنازین								
skin	  پێست	کەوڵ	توێکڵ	سپیکردن	پاککردن	پێست لێکردنەوە								
cash	  پارە	کاش	پارەی ئاماده	دراو	دراڤ	پووڵ								
cover	  داپۆشین	بەرگ	قەرەبووکردنەوە	داڵدەدان	پەناگا	پاڵپشتی کردن								
clean	  خاوێن کردنەوە	سڕینەوە	پاک کردنەوە	خاوێن	پاقژ	پاک								
share	  بەش کردن	هاوبەشی کردن	بەش	پشک	سەهام	پاژ								
spend	  خەرجکردن	کات بەسەربردن	دەکارکردن	دەکارهێنان	بەکاربردن	بەکارهێنان								
down	  خوار	نزم	خوارەوە	لەخوارەوە	بۆخوارەوە	بەرەوخوار								
stretch	  درێژبوونەوە	درێژکردن	خۆکێشانەوە	هەراوکردن	فرەوان کردن	بەرین کردن								
level	  ئاست	بڕ	رێژە	ڕادە	بەرزی	بەرزایی								
dimension	  قەباره	ڕەهەند	دووری	ئەندازه	پانای	بەرزای)								
office	  فەرمانگە	مەکتەب	ئۆفیس	نووسینگە	دیوان	بیرۆ								
free	  ئازاد	سەربەست	بەلاش	خۆڕایی	بێ بەرامبەر	بێ پارەدان								
business	  مامەڵ	ئیش	پیشه	کاربەند	کاروکاسبی	بزاڤی بازرگانی								
term	  ماوە	مەودا	مۆڵەت	مەرج	واژە	بڕگە								
substitute	  لە بڕی دانان	لە جێ دانان	جێگرتنەوە	جێگۆڕکێ	جێگرەوە	بریکار								
bathroom	  ژووری خۆشوشتن	حەمام	گەرماوه	تەوالێت	ئاودەستخانه	بانێو								
possibility	  دەرفەت	لوان	توانست	شیمانە	ئەگەر									
permit	  هێشتن	هێڵان	ڕێپێدان	مۆڵەت نامە	ئیزن نامە									
mother	  دایک	دایە	دایکە	دادێ	ئۆدا									
confuse	  سەرلێشواندن	سەرلێتێکدان	تێکەڵاوبوون	لێ هەڵەبوون	ئاڵۆزبوون									
remains	  تەرم	لاشە	پاشماوەکان	جێماوەکان	ئاسەوار									
wish	  دەیەوێ	ویستن	دەخوازێت	نیاز	ئارەزوو دەکات									
guide	  فێرکار	ڕێبە	ڕابەر	ڕێ پیشاندەر	یارمەتی دەر									
will	  ویست	خواست	خوایشت	دەبێ	وەسیەت									
wheel	  تایه	چەرخ	تەگەر	پێچکە	ویڵ									
identify	  پێناسە کردن	ناساندن	دیاری کردن	ناسینەوە	وێکچوواندن									
comparison	  بەراوردکردن	پێکگرتن	هەڵسانگاندنی دوو شت	دۆخەکانی بەراورد	وێکچواندن									
felicity	  شادی	به‌ختیاری	کامه‌رانی	سه‌رچاوه‌ یا هۆی شادی	ووته‌ بیرێکی به‌جێ									
bring	  هێنان	هاوردن	گەیاندن بە	بوونە هۆی	والێکردن									
fan	  فێنککەرەوە	پانکە	باوەشێن	لایەنگر	هەوادار									
knee	  ئەژنۆ	ئەژنوو	چۆک	زەنگۆڵ	هەنگۆڵ									
match	  شقارتە	یاری	کێ بەرکێ	جووت	هەمەئاهەنگ بوون									
conception	  ئاوس بوون	ماکوتە	تێگەیشتن	چەمک	هەڵگۆست									
tempt	  فریودان	تین دان	خولیاندن	گینەڵەدان	هەڵخەڵەتاندن									
sale	  فرۆش	فرۆشتن	بازاڕ	هەرزانی	هەڕاجی									
teach	  فێرکردن	راهێنان	هەڤۆتن	هوین کردن	هین کردن									
poem	  چامه	هونراوه	هەڵبەست	شێعر	هۆزان									
shriek	  جریکاندن	جریوە	قیژە	شریخە	هاوار									
commute	  گۆڕینی سزا	سووککردنی سزا	داشکاندنی سزا	سەفەری ڕۆژانە	هاتوچۆی ڕۆژانە									
shrink	  وێک هاتن	چوونەوەیەک	هەڵقرچان	فلین	هاتنەوەیەک									
remember	  وەبیرهاتنەوە	وەبیرهێنانەوە	وەبیرمان	بیرکەوتنەوە	هاتنەوە یاد									
descend	  نزمبوونەوە	دابەزین	داکەتن	لووربوونەوە	هاتنەخوار									
little	  بچووک	کەم	تۆزێ	کەمێک	نیسکێک									
reach	  گەیشتن	درێژکردن	درێژکردنی دەست	کاریگەری	مەودا									
pool	  کانی	حەوز	یاریی دووهەفتان	یاری بلیارد	مەلەوانگە									
pay	  پارە دان	کرێ دان	دان	کرێ	مووچە									
faith	  باوەڕ	دین	بڕوا	ئیمان	متمانە									
administration	  بەڕێوبەرایەتی	ئیدارە	دامودەزگا	دەزگای حکوومەت	ماوەی حکوومەت									
be	  هەبوون	بوون	چاوگی بوون	ژیان	مانەوە									
marriage	  هاوسەری	ژنومێردی	پەیمانی هاوسەری	مارەبڕین	مارەکردن									
crack	  شکان	درز	کراک	ماددە سڕکەرەکان	ماددە بێ هۆشەکان									
conjoin	  پێکەوەبەستن	بەیەک گەیاندن	کردن بەیەک	یەکگرتن	لەیەکدان									
fit	  لەبار بوون	گونجان	شیان	گونجاو	لەبار									
hunt	  ڕاوکردن	ڕاو	گەڕان	بەدواداگەڕان	لێگەڕان									
report	  هەواڵ دان	ڕاپۆرت	خەبەردان	لێدوان	لێکدانەوە									
stick	  شوول	دار	گۆچان	پێوەنووسان	لکاندن									
consumption	  بەکارهێنان	بەکاربردن	نەخۆشیی سیل	لەڕی	لاوازی									
castrate	  خەساندن	نەزۆکاندن	کەمهێزکردن	لاوازکردن	لاوازاندن									
restitution	  گەڕاندنەوەی شت بۆ خاوەنەکەی	قەرەبووکردن	بۆبژاردن	پێ دانەوە	گەڕانەوە بۆ دۆخی جاران									
guarantee	  گەرەنتی	مسۆگەری	دەستەبەری	دابینی	گفت دان									
signify	  گەیاندن	واتابەخشین	نیشانەبوون	ئاماژەپێدان	گرنگ بوون									
coast	  رۆخ	بەراو	قەراخی دەریا	کەنار	کەناری دەریا									
mountain	  چیا	شاخ	کێو	کێڤ	کەژ									
gear	  گێڕ	ددانه	دەزگا	جل و بەرگی سەربازی	کەرەستە و پێداویستیەکانی کارێک									
problem	  گرفت	موشکیلە	تەنگ و چەڵەمە	هەڵە	کێشە									
compound	  تێکەڵه	ئاوێته	پێکهاته	لێکدراو	کۆمەڵێک خانووبەرە									
aggregate	  کۆمەڵ	ئاپوره	گرووپ	دەسته	کۆبوونەوه									
direct	  ئاراستە کردن	بەڕێوەبردن	ڕابەری کردن	ڕاستەوخۆ	کتومت									
react	  کارلێک کردن	وەڵام دانەوە	دژکردەوە	پەرچەکردار	کاردانەوە									
freeze	  سەهۆڵ بەستن	وەستاندن	وەستان	جێگیرکردن	قەپات کردن									
shrill	  تیژ	زیل	قیژە	زیقاندن	قیژاندن									
dig	  چاڵ هەڵکەندن	هەڵکەندن	کێڵان	تێ ڕۆکردن	قووڵبوونەوە									
rescue	  ڕزگارکردن	ئازادکردن	دەربازکردن	ڕزگاری	قوتاربوون									
shoot	  تیرهاویشتن	تەقەکردن	گوللەباران کردن	توندهاویشتن	فیلم گرتن									
picture	  وێنە	نیگار	شکڵ	وێنەکێشانەوە	فیلم									
room	  دیو	ژوور	شوێن	بوار	فراوان کردن									
wage	  کرێ	مووچە	ئاشکرای دەکات	دەهەژێنێ	شەڕهەڵدەگیرسێنێت									
wicked	  بێزارکەر	بەدکار	گوناهکار	بەدڕەوشت	شەڕانی									
aftermath	  ئاکام	ئەنجام	ئاسەوار	ماوەی دوای کارەساتێک	شۆن و بەری ڕووداو									
marry	  زەماوەندکردن	هاوسەرگرتن	هاوسەرگیری کردن	ژنهێنان	شووکردن									
elevate	  بەرزکردنەوە	بڵیندکردن	ڕێزلێنان	هاندان	شادکردن									
treatment	  چارەسەر	هاوڵ	تیمار	دەرمان	سەوا									
amuse	  خافڵاندن	سەرقاڵکردن	سەرخۆشکردن	سەرسووڕماندن	سەرنجڕاکێشان									
understand	  تێگەیشتن	تێگەیین	حاڵیبوون	فامین	سەرلێدەرکردن									
cap	  شەپڤە	کڵاو	سەرپۆش	تەقیلە	سەردەگرێت									
ground	  زەمین	بنچینە	دووری لە ئامانجەوە	هۆ	سۆنگە									
switch	  کلیل	داری قەمچی	لێدەدات	دادەپڵۆسێت	سویچ									
insist	  پێداگرتن	شێلگیربوون	پژلاندن	جەختکردن	سووربوون لەسەر									
govern	  فه‌رمانڕه‌وایی کردن	به‌ڕێوه‌بردن	حوکم کردن	ده‌ره‌دان	سه‌پاندن									
trunk	  قەدی گیا	کۆتەره	نیوجەستە	جانتا	سندۆق									
cell	  چاوە	خانه	پیل	شانە	سلوول									
narcotic	  سڕکەر	هۆشبەر	ئارام بەخش	بێهۆش کەر	سست کەر									
fabric	  ئەتەم	ڕیشاڵ	چنراوی پارچە یان قوماش	بنەما	ژێرخان									
include	  گرتنەوە	خستنەناو	لەخۆگربوون	بریتی بوون	ژماردن									
country	  وڵات	نیشتمان	لادێ	هاوینەهەوار	زۆزان									
wit	  زیرەکی	خوێن شیرین	هۆش	تێگەیشتن	زوو فێربوون									
heed	  سەرنج	تێبینی	ئاوڕ	بایەخ	ڕەچاوکردن									
hinder	  بوونەکۆسپ	تەگەرەتێخستن	کۆسپ هێنانەڕێ	وەدواخستن	ڕێگرتن									
parade	  نواندن	نمایش	بە ریز ڕۆیشتن	ڕێژە	ڕێپێوان لە بۆنەیەکدا									
day	  ڕۆژ	ڕۆژگار	چەرخ	سەردەم	ڕووناکی									
view	  پیشاندان	دیتن	بینین	دیمەن	ڕوانگە									
preserve	  پاراستن	هێشتنەوە	پارێزراو	ناوچەی پارێزراو	ڕاوگە									
expose	  نواندن	پێشاندان	ئاشکراکردن	دەرخستن	ڕانان									
depict	  نیگارکێشانەوە	وێنەکێشانەوە	پێشاندان بە وێنە	وەسفکردن بە وێنە یان بە وشە	ڕاڤەکردن									
accept	  پەسەند دەکات	ڕێ دەدات	وەردەگرێت	قەبووڵ دەکات	ڕازی دەبێت									
expand	  پەرە پێدان	بەربڵاو کردن	پان کردنەوە	بڵاو کردنەوە	راخستن									
worth	  شایەن	بەها	گرنگی	نرخ	دەهێنی									
cease	  ڕاگرتن	وازهێنان	وەستاندن	وەستان	دەستهەڵگرتن									
treat	  هەڵسوکەوت کردن دەگەڵ	پشکنین	هێنانە بەرباس	چارەسەرکردن	دەرمان									
wind	  با	بادان	لوول دەدات	سوڕان	دەخولێتەوە									
invest	  تەرخان کردن	سەرمایەگوزاری کردن	پاڵپشتی کردن	دانان	دیاری کردن									
board	  کابینە	ئەنجومەن	ئەنجومەنی وەزیران	(ئەمریکا) ئەنجومەنی دەوڵەت	دۆڵاب									
stem	  چڵ	لق	تل	قەد	دۆخ									
abnormality	  ناوازەیی	نائاسایی	ئاوڕێیی	لادانی	دوور له سروشتی									
sympathy	  هاودڵی	هاوسۆزی	دڵسۆزی	بەسۆزی	دلۆڤانی									
